name,gender,status,affiliation,faction,role,weapon,emotion,mission_count,location,rank,loyalty
Michael Carter 1,Female,Inactive,Continental,Handler,Operative,Pistol,Neutral,189,London,Novice,Absolute
Ryan Carter 2,Male,Inactive,Continental,Contractor,Enforcer,Pistol,Determined,50,London,Elite,Medium
Benjamin Hunter 3,Female,Active,Continental,Crime Syndicate,Bodyguard,Rifle,Angry,55,Osaka,Novice,Low
Oliver Walker 4,Female,Missing,Underworld,Security,Hitman,Unarmed,Fearful,137,Rome,Elite,Low
Joseph Brooks 5,Female,Inactive,Independent,Assassin,Operative,Knife,Focused,20,Berlin,Novice,Absolute
William Ward 6,Female,Inactive,High Table,Security,Tracker,Unarmed,Focused,179,Rome,Master,Medium
Joseph Hayes 7,Male,Deceased,Ruska Roma,Security,Operative,Unarmed,Determined,56,Osaka,Novice,Medium
Ryan Turner 8,Female,Missing,Independent,Handler,Enforcer,Unarmed,Focused,54,Casablanca,Elite,Absolute
James Foster 9,Male,Inactive,Underworld,Contractor,Bodyguard,Unarmed,Determined,109,Marrakesh,Elite,High
Lucas Bennett 10,Female,Active,Independent,Assassin,Tracker,Unarmed,Angry,202,Prague,Master,Low
Oliver Cooper 11,Female,Missing,Underworld,Assassin,Operative,Unarmed,Calm,174,London,Senior Agent,High
Michael Brooks 12,Female,Inactive,Ruska Roma,Assassin,Operative,Unarmed,Focused,248,London,Agent,Low
Henry Russell 13,Male,Inactive,High Table,Handler,Enforcer,Shotgun,Calm,153,Osaka,Elite,Low
Michael Mitchell 14,Female,Inactive,Independent,Handler,Enforcer,Pistol,Calm,187,Casablanca,Novice,Medium
James Bailey 15,Male,Missing,Underworld,Contractor,Manager,Knife,Determined,193,Berlin,Senior Agent,Absolute
Leo Ward 16,Female,Active,Continental,Handler,Hitman,Rifle,Calm,150,London,Agent,Medium
Alex Reed 17,Male,Inactive,Independent,Assassin,Bodyguard,Pistol,Determined,60,Tokyo,Elite,Medium
Joseph Bennett 18,Female,Inactive,Ruska Roma,Crime Syndicate,Tracker,Pistol,Calm,168,Prague,Senior Agent,Absolute
Thomas Ward 19,Male,Active,Independent,Crime Syndicate,Operative,Rifle,Calm,63,Berlin,Agent,Absolute
James Murphy 20,Male,Missing,Ruska Roma,Handler,Hitman,Sword,Determined,25,New York,Master,Low
Daniel Hayes 21,Male,Deceased,Ruska Roma,Crime Syndicate,Tracker,Sword,Calm,42,Prague,Novice,Absolute
William Ward 22,Female,Deceased,Underworld,Crime Syndicate,Tracker,Knife,Focused,55,New York,Master,Low
Jack Morgan 23,Male,Deceased,Underworld,Contractor,Tracker,Pistol,Determined,20,Paris,Novice,Low
Lucas Cooper 24,Male,Inactive,Underworld,Contractor,Hitman,Shotgun,Calm,107,Marrakesh,Master,High
William Parker 25,Female,Inactive,High Table,Crime Syndicate,Tracker,Unarmed,Neutral,76,Casablanca,Senior Agent,Low
Alex Ward 26,Male,Active,Underworld,Handler,Enforcer,Rifle,Angry,238,Osaka,Novice,Medium
Leo Brooks 27,Male,Deceased,Underworld,Security,Enforcer,Unarmed,Determined,2,London,Senior Agent,Low
James Foster 28,Male,Active,Underworld,Handler,Bodyguard,Rifle,Determined,53,Osaka,Agent,High
David Bailey 29,Female,Active,Independent,Crime Syndicate,Bodyguard,Pistol,Calm,85,Paris,Senior Agent,Medium
Benjamin Griffin 30,Female,Active,Independent,Assassin,Operative,Knife,Determined,9,Osaka,Master,Medium
Thomas Bennett 31,Male,Missing,High Table,Assassin,Bodyguard,Knife,Neutral,63,Rome,Senior Agent,Absolute
Andrew Bennett 32,Male,Inactive,Continental,Crime Syndicate,Hitman,Knife,Neutral,236,Osaka,Elite,Medium
William Collins 33,Male,Deceased,Independent,Crime Syndicate,Tracker,Knife,Fearful,89,Tokyo,Agent,Medium
Alex Parker 34,Female,Missing,High Table,Assassin,Bodyguard,Rifle,Neutral,130,Prague,Master,High
Alex Walker 35,Female,Inactive,Underworld,Security,Hitman,Pistol,Determined,111,Osaka,Senior Agent,Absolute
Andrew Russell 36,Male,Deceased,Underworld,Handler,Bodyguard,Pistol,Neutral,111,New York,Master,Medium
Leo Murphy 37,Male,Missing,Underworld,Security,Operative,Pistol,Neutral,230,Tokyo,Master,High
Thomas Turner 38,Female,Missing,Underworld,Handler,Tracker,Sword,Neutral,240,Prague,Agent,High
Oliver Griffin 39,Male,Missing,High Table,Handler,Manager,Shotgun,Determined,167,Osaka,Elite,Absolute
Benjamin Parker 40,Female,Inactive,Independent,Security,Enforcer,Unarmed,Neutral,158,Osaka,Novice,Medium
Henry Hayes 41,Male,Inactive,Independent,Assassin,Tracker,Sword,Determined,217,Rome,Elite,Absolute
Matthew Parker 42,Female,Deceased,Ruska Roma,Handler,Tracker,Unarmed,Neutral,1,Rome,Elite,Medium
Ethan Russell 43,Female,Active,Underworld,Handler,Hitman,Sword,Angry,205,Casablanca,Master,High
Benjamin Stone 44,Female,Deceased,Continental,Crime Syndicate,Manager,Rifle,Angry,215,Tokyo,Master,Absolute
Lucas Foster 45,Female,Active,High Table,Handler,Bodyguard,Rifle,Focused,228,London,Novice,Medium
James Hayes 46,Female,Inactive,Continental,Assassin,Manager,Sword,Focused,138,Casablanca,Elite,Low
Noah Murphy 47,Female,Active,Underworld,Crime Syndicate,Manager,Pistol,Focused,76,Prague,Elite,Medium
